,Group,Group2,Family,Genus,Species,Code,size1,size2,size3,size4,size5,size6,size7,life1,life2,cycl1,cycl2,cycl3,aqua1,aqua2,aqua3,aqua4,repr1,repr2,repr3,repr4,repr5,repr6,repr7,repr8,disp1,disp2,disp3,disp4,resi1,resi2,resi3,resi4,resi5,resp1,resp2,resp3,resp4,resp5,loco1,loco2,loco3,loco4,loco5,loco6,loco7,loco8,food1,food2,food3,food4,food5,food6,food7,food8,food9,fhab1,fhab2,fhab3,fhab4,fhab5,fhab6,fhab7,fhab8
82,Megaloptera,MEG,Sialidae,Sialis,sp.,sialsp.,0,0,0,3,2,0,0,0,3,3,1,0,0,3,0,0,0,0,0,3,0,0,3,0,0,2,0,1,0,0,0,0,1,0,3,0,1,0,0,0,1,4,3,0,0,0,0,1,1,0,0,1,1,5,0,0,0,0,0,0,0,3,0
83,Trichoptera,TRI,Goeridae,Silo,sp.,silosp.,0,0,3,1,0,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,1,1,1,2,0,0,0,0,3,2,3,0,0,0,0,0,0,4,0,0,2,1,0,1,1,4,0,0,0,0,0,0,0,1,3,0,0,0,0
84,Diptera,DIP,Simuliidae,Simuliinae,Gen. sp.,simulgen,0,2,3,0,0,0,0,3,1,0,2,3,2,3,3,0,0,1,0,3,1,0,1,0,2,2,3,1,1,0,0,1,0,3,1,0,3,0,0,0,0,2,0,1,4,0,0,3,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0
85,Plecoptera,PLE,Chloroperlidae,Siphonoperla,sp.,siphonsp,0,0,3,2,0,0,0,2,1,1,2,0,3,3,0,0,0,0,3,0,0,0,0,0,2,2,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,4,1,1,0,0,1,1,2,1,0,0,1,5,0,0,1,3,1,0,0,1,0
86,Bivalvia,BIV,Sphaeriidae,Sphaerium,sp.,sphiumsp,0,0,0,3,1,0,0,1,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,4,0,2,0,0,3,0,5,1,0,2,0,0,0,0,0,0,3,0,0,0
87,Oligochaeta,OLI,Lumbriculidae,Stylodrilus,heringianus,stylheri,0,0,0,0,0,3,0,0,1,0,0,3,3,3,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0
88,Plecoptera,PLE,Taeniopterygidae,Taeniopteryx,sp.,taensp.,0,0,1,3,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,0,0,0,0,0,2,2,0,1,0,0,0,1,2,3,2,0,0,0,0,0,0,5,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
89,Diptera,DIP,Chironomidae,Tanypodinae,Gen. sp.,tannaege,0,1,3,2,0,0,0,3,0,0,3,0,0,3,3,0,0,0,0,1,3,0,0,0,2,1,1,1,0,0,0,0,3,3,1,0,0,0,0,0,3,2,1,1,0,0,0,0,1,1,0,1,3,5,0,0,0,0,0,0,0,3,0
90,Diptera,DIP,Chironomidae,Tanytarsini,Gen. sp.,taninige,0,2,3,0,0,0,0,3,0,0,3,3,0,3,3,0,1,0,0,1,3,0,0,0,1,1,3,1,0,0,0,1,3,3,1,0,0,0,0,0,2,3,0,1,2,0,1,4,1,2,0,0,0,0,0,0,3,2,2,1,0,0,0
91,Trichoptera,TRI,Psychomyiidae,Tinodes,sp.,tinosp.,0,1,3,1,0,0,0,3,0,0,2,3,3,3,3,0,0,0,0,3,0,0,0,0,2,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,3,1,0,2,0,3,1,0,2,1,0,0,1,0,3,2,0,1,0
92,Diptera,DIP,Tipulidae,Tipulidae,Gen. sp.,tipdaege,0,0,0,0,3,2,0,2,3,1,3,1,2,2,2,0,0,3,0,0,0,0,1,0,0,1,0,1,0,2,0,0,2,2,1,0,3,0,0,0,0,1,4,0,0,0,0,2,4,2,2,0,1,2,0,0,2,3,0,0,0,2,0
93,Trichoptera,TRI,Leptoceridae,Triaenodes,sp.,triasp.,0,0,3,2,0,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,1,1,1,2,0,0,0,0,3,2,3,0,0,0,0,0,2,4,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,3,1,0,0,0,0
94,Prosobranchia,PRO,Valvatidae,Valvata,sp.,valvsp.,2,3,0,0,0,0,3,2,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,2,3,0,0,0,0,2,3,5,3,1,1,0,0,0,0,1,2,2,0,0,0,0
